Primary Key,Year,Director,Birthyear,Gender
1,2014,Alejandro Inarritu,1964,M
2,2013,Steve McQueen,1970,M
3,2012,Ben Affleck,1972,M
4,2011,Michel Hazanavicius,1968,M
5,2010,Tom Hooper,1972,M
6,2009,Kathryn Bigelow,1952,F
7,2008,Danny Boyle,1956,M
8,2007,Ethan Coen,1957,M
9,2006,Martin Scorsese,1942,M
10,2005,Paul Haggis,1953,M
11,2004,Clint Eastwood,1930,M
12,2003,Peter Jackson,1961,M
13,2002,Rob Marshall,1960,M
14,2001,Ron Howard,1954,M
15,2000,Ridley Scott,1937,M
16,1999,Sam Mendes,1965,M
17,1998,John Madden,1949,M
18,1997,James Cameron,1954,M
19,1996,Anthony Minghella,1954,M
20,1995,Mel Gibson,1956,M
21,1994,Robert Zemeckis,1952,M
22,1993,Steven Spielberg,1946,M
23,1992,Clint Eastwood,1930,M
24,1991,Jonathan Demme,1944,M
25,1990,Kevin Costner,1955,M
26,1989,Bruce Beresford,1940,M
27,1988,Barry Levinson,1942,M
28,1987,Bernardo Bertolucci,1941,M
29,1986,Oliver Stone,1946,M
30,1985,Sydney Pollack,1934,M
31,1984,Milos Forman,1932,M
32,1983,James Brooks,1940,M
33,1982,Richard Attenborough,1923,M
34,1981,Hugh Hudson,1936,M
35,1980,Robert Redford,1936,M
36,1979,Robert Benton,1932,M
37,1978,Michael Cimino,1939,M
38,1977,Woody Allen,1935,M
39,1976,John Avildsen,1935,M
40,1975,Milos Forman,1932,M
41,1974,Francis Coppola,1939,M
42,1973,George Hill,1921,M
43,1972,Francis Coppola,1939,M
44,1971,William Friedkin,1935,M
45,1970,Franklin Schaffner,1920,M
46,1969,John Schlesinger,1926,M
47,1968,Oliver Reed,1906,M
48,1967,Norman Jewison,1926,M
49,1966,Fred Zinnemann,1907,M
50,1965,Robert Wise,1914,M
51,1964,George Cukor,1899,M
52,1963,Tony Richardson,1928,M
53,1962,David Lean,1908,M
54,1961,Robert Wise,1914,M
55,1960,Billy Wilder,1906,M
56,1959,William Wyler,1902,M
57,1958,Vincente Minnelli,1903,M
58,1957,David Lean,1908,M
59,1956,Michael Anderson,1920,M
60,1955,Delbert Mann,1920,M
61,1954,Elia Kazan,1909,M
62,1953,Fred Zinnemann,1907,M
63,1952,Cecel DeMille,1881,M
64,1951,Vincente Minnelli,1903,M
65,1950,Joseph Mankiewicz,1909,M
66,1949,Robert Rossen,1908,M
67,1948,Laurence Olivier,1907,M
68,1947,Elia Kazan,1909,M
69,1946,William Wyler,1902,M
70,1945,Billy Wilder,1906,M
71,1944,Leo McCarey,1898,M
72,1943,Michael Curtiz,1886,M
73,1942,William Wyler,1902,M
74,1941,John Ford,1894,M
75,1940,Alfred Hitchcock,1899,M
76,1939,Victor Fleming,1889,M
77,1938,Frank Capra,1897,M
78,1937,William Dieterle,1893,M
79,1936,Robert Leonard,1889,M
80,1935,Frank Lloyd,1886,M
81,1934,Frank Capra,1897,M
82,1933,Frank Lloyd,1886,M
83,1931,Edmund Goulding,1891,M
84,1930,Anthony Mann,1906,M
85,1929,Lewis Milestone,1895,M
86,1928,Harry Beaumont,1888,M
87,1927,William Wellman,1896,M
